"Product title","Net sales","Quantity ordered"
"AR756 Thermofoil Drawer Front",7112.7,182
"DRS131 Thermofoil Drawer Front (Shaker Style)",3477.86,81
"FS842 Thermofoil Drawer Front",3058.97,69
"Thermofoil Plank Drawer Front (DBQ)",2838.96,86
"DR8 Thermofoil Drawer Front",2065.7,40
"KB732 Thermofoil Drawer Front",1962.63,67
"DR1 Thermofoil Drawer Front (Artesia Style)",944.36,21
"DSS218 Thermofoil Drawer Front (Shallow Shaker Style)",913.57,18
"DR133 Thermofoil Drawer Front",831.18,12
"FC712 Thermofoil Drawer Front",777.77,19
"FR556 Thermofoil Drawer Front",630.2,14
"DT223 Thermofoil Drawer Front (Shallow Artesia Style)",462.1,9
"FC716 Thermofoil Drawer Front",410.41,8
"JR7 Thermofoil Drawer Front (Revere Style)",381.03,8
"FC714 Thermofoil Drawer Front",336.37,9
"AR766 Thermofoil Drawer Front",322.81,8
"DN917 Thermofoil Drawer Front (Skinny Shaker Style)",305.18,7
"RR980 Thermofoil (Adobe Style) Drawer Front",265.6,6
"DRV819 Thermofoil Drawer Front",92.79,1
"DR31 Thermofoil Drawer Front",84.55,3
"FS742 Thermofoil Drawer Front",38.76,1
